DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE LOCAL,ESTADO,HORARIO DE ATENCION AL PUBLICO,DIRECCION,AÑO
LIMA,LIMA,SAN BORJA,OR SAN BORJA,OPERATIVO,08:45 a 16:45,Avenida San Luis N° 1673 Urb. Jacaranda II,2024
LIMA,LIMA,COMAS,OR COMAS III,OPERATIVO,08:45 a 16:45,Avenida San Felipe Nº 830 Urb. San Felipe,2024
LIMA,LIMA,LIMA,OR QUILCA,OPERATIVO,08:45 a 16:45,Jirón Quilca Nº 501 y 525 ,2024
LIMA,LIMA,LIMA,AG ANCASH,OPERATIVO,08:45 a 16:45,Jirón Ancash Nº 336-340 y 344 (Frente a la Plazuela San Francisco) - Lima,2024
LIMA,LIMA,VILLA MARÍA DEL TRIUNFO,ORA DANIEL ALCIDES CARRION (MINSA),OPERATIVO,08:45 a 16:30,Avenida Pachacutec N° 3470 - Pasando el Terminal Pesquero.,2024
CALLAO,CALLAO,BELLAVISTA,MAC - CALLAO,OPERATIVO,08:30 a 16:30,Avenida Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza,2024
LIMA,LIMA,LIMA,OR LIMA,OPERATIVO,08:45 a 16:45,Jirón Nicolás de Piérola N 545,2024
LIMA,LIMA,ATE,OR ATE,OPERATIVO,08:45 a 16:45,Jirón Industrial Nº 438,2024
LIMA,LIMA,COMAS,OR COMAS I,OPERATIVO,08:45 a 16:45,"Avenida Tupac Amaru N° 5527 - 5531 - 5535, Urb Huaquillay 2da Etapa",2024
LIMA,LIMA,LURIN,OR LURIN,OPERATIVO,08:45 a 16:45,"MZ B, Lote 5 Asociación de Vivienda Familiar Centinela - Lurin",2024
LIMA,LIMA,MIRAFLORES,OR MIRAFLORES,OPERATIVO,08:45 a 16:45,Avenida Ernesto Diez Canseco N° 230,2024
LIMA,LIMA,PUENTE PIEDRA,OR PUENTE PIEDRA,OPERATIVO,08:45 a 16:45,Jirón Ricardo Palma Nº 241,2024
LIMA,LIMA,SAN JUAN DE LURIGANCHO,OR SAN JUAN DE LURIGANCHO,OPERATIVO,08:45 a 16:45,Avenida Las Flores Lote 1 Mz. G Urb. Canto Grande Unidad 7,2024
